,Mean,Median,High,Low,25%,75%
class_1,0.37676037728469514,0.12584226262908696,2.050060405260552,1.0000000827903708e-10,0.04335830382816567,0.41879036830970623
class_2,0.22811735702219185,0.021452419852302156,2.0282823577130658,1.0000000827903708e-10,1.000000082790371e-10,0.0827886960874157
class_3,0.22829162805645353,0.0665276403862867,1.918820904025008,1.0000000827903708e-10,0.01909312215281698,0.38376418088500175
class_4,0.33848057373148804,0.17596142951538912,2.1469800049693677,1.0000000827903707e-10,0.06559253014456286,0.4695438019643442
class_5,0.16379001806057228,0.05904512343774347,1.9188209040250082,1.0000000827903708e-10,0.011335244432526858,0.12343367556503332
class_6,0.16451738997258103,0.09124008212076823,1.984187045823287,1.000000082790371e-10,0.03154469900437916,0.13308638936105016
class_7,0.1607342946916438,0.04049329981452944,1.9830520784532542,1.0000000827903708e-10,0.012224537696165837,0.09770636324999385
class_8,0.08724832002800322,0.02019454613572587,1.3557233004172224,1.0000000827903708e-10,1.000000082790371e-10,0.06745237230051412
class_9,0.17987549069737574,0.08492089273277757,1.918820904025008,1.000000082790371e-10,0.036074480965755336,0.13144982372536176
class_10,0.23806668041620654,0.1152127583923816,2.022595934632457,1.000000082790371e-10,0.032983946523109514,0.2570040565454029
class_11,0.24946192021068625,0.08414275995712842,1.9188209040250077,1.0000000827903707e-10,0.04032558294161666,0.23108295637490442
class_12,0.09913031425488014,0.021680496723391986,2.0052705353085165,1.0000000827903708e-10,0.00402093526108945,0.0656904504446755
