Epoch,MAE,mAP,Average Loss,Precision,Recall,F1 Score
1,0.44356703758239746,0.0,2.629810333251953,0.0,0.0,0.0
1,0.44356703758239746,0.0,2.629810333251953,0.0,0.0,0.0
1,0.44008708000183105,0.0,-0.7469673156738281,0.0,0.0,0.0
1,0.44008708000183105,0.0,-0.7469673156738281,0.0,0.0,0.0
1,0.44008708000183105,0.0,-0.7469673156738281,0.0,0.0,0.0
1,0.44008708000183105,0.0,-0.7469673156738281,0.0,0.0,0.0
1,0.44008708000183105,0.0,-0.7469673156738281,0.0,0.0,0.0
1,0.32063770294189453,0.0,3.8520851135253906,0.0,0.0,0.0
2,0.23015955090522766,0.0,-3.036712646484375,0.0,0.0,0.0
1,0.32063770294189453,0.0,3.8520851135253906,0.0,0.0,0.0
1,0.32063770294189453,0.0,3.8520851135253906,0.0,0.0,0.0
1,0.32063770294189453,0.0,3.8520851135253906,0.0,0.0,0.0
1,0.4142211675643921,0.0,2.089824676513672,0.0,0.0,0.0
1,0.4142211675643921,0.0,2.089824676513672,0.0,0.0,0.0
1,0.4148741066455841,0.0,1.5362319946289062,0.0,0.0,0.0
1,0.4148741066455841,0.0,0.0,0.0,0.0,0.0
1,0.4148741066455841,0.0,1.5362319946289062
1,0.4148741066455841,0.0,1.5362319946289062
